id,file,Component,Smell,Details,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
14,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\reference\enrichments\cli\CliGlobalFlagsHandler.tsx,RealtimeLimitsEstimater,Large Component,LOC: 199; Number of props: 4; Number of attributes: 0; Number of methods: 5,,
15,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\components\reference\enrichments\cli\CliGlobalFlagsHandler.tsx,RealtimeLimitsEstimater,Large Component,LOC: 199; Number of props: 4; Number of attributes: 0; Number of methods: 5,,
16,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\features\docs\Reference.navigation.tsx,ReferenceContentScrollHandler,Direct DOM Manipulation,"Line 106: null
",,
17,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\features\docs\Reference.navigation.tsx,ReferenceContentScrollHandler,Direct DOM Manipulation,"Line 106: null
",,
18,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\features\helpers.fn.ts,Result,Large Component,LOC: 153; Number of props: 3; Number of attributes: 0; Number of methods: 19,,
19,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\features\helpers.fn.ts,Both,Large Component,LOC: 43; Number of props: 2; Number of attributes: 1; Number of methods: 7,,
20,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\resources\guide\guideModelLoader.ts,GuideModelLoader,Large Component,LOC: 136; Number of props: 9; Number of attributes: 0; Number of methods: 3,,
21,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\scripts\search\sources\index.ts,GitHubDiscussionLoader,Inheritance instead of composition,SuperClass: BaseLoader,,
22,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\scripts\search\sources\index.ts,GitHubDiscussionSource,Inheritance instead of composition,SuperClass: BaseSource,,
23,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\scripts\search\sources\index.ts,GitHubDiscussionLoader,Inheritance instead of composition,SuperClass: BaseLoader,,
24,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\scripts\search\sources\index.ts,GitHubDiscussionSource,Inheritance instead of composition,SuperClass: BaseSource,,
25,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\scripts\search\sources\reference-doc.ts,MarkdownLoader,Inheritance instead of composition,SuperClass: BaseLoader,,
26,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\scripts\search\sources\reference-doc.ts,MarkdownSource,Inheritance instead of composition,SuperClass: BaseSource,,
27,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\scripts\search\sources\reference-doc.ts,MarkdownLoader,Inheritance instead of composition,SuperClass: BaseLoader,,
28,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\scripts\search\sources\reference-doc.ts,MarkdownSource,Inheritance instead of composition,SuperClass: BaseSource,,
29,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\scripts\search\sources\reference-doc.ts,MarkdownLoader,Inheritance instead of composition,SuperClass: BaseLoader,,
30,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\docs\scripts\search\sources\reference-doc.ts,MarkdownSource,Inheritance instead of composition,SuperClass: BaseSource,,
31,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\learn\components\chapter-completion.tsx,ChapterCompletion,Large Component,LOC: 136; Number of props: 4; Number of attributes: 0; Number of methods: 0,,
32,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\learn\components\side-navigation-item.tsx,NavigationItem,Large Component,LOC: 139; Number of props: 6; Number of attributes: 0; Number of methods: 2,,
33,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\learn\components\side-navigation.tsx,SideNavigation,Large Component,LOC: 141; Number of props: 7; Number of attributes: 0; Number of methods: 0,,
34,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\common\MonacoEditor.tsx,MonacoEditor,Large Component,LOC: 63; Number of props: 21; Number of attributes: 0; Number of methods: 1,,
35,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\common\MonacoEditor.tsx,MonacoEditor,Too many props,"Number of props: 21; Props: width,height,value,language,readOnly,onChange,onMount,afterLineNumber,heightInPx,domNode,className,tabSize,fontSize,minimap,glyphMargin,folding,lineNumbers,lineNumbersMinChars,scrollBeyondLastLine,wordWrap,unusualLineTerminators",,
36,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\editor\DateTimeEditor.tsx,BaseEditor,Large Component,LOC: 133; Number of props: 9; Number of attributes: 0; Number of methods: 2,,
37,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\editor\JsonEditor.tsx,JsonEditor,Large Component,LOC: 183; Number of props: 16; Number of attributes: 0; Number of methods: 4,,
38,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\editor\JsonEditor.tsx,JsonEditor,Too many props,"Number of props: 16; Props: row,column,isEditable,onRowChange,onExpandEditor,id,data,projectRef,connectionString,mutate,isPending,isSuccess,table,pkMatch,onSuccess,width",,
39,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\editor\TextEditor.tsx,TextEditor,Large Component,LOC: 198; Number of props: 17; Number of attributes: 0; Number of methods: 3,,
40,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\editor\TextEditor.tsx,TextEditor,Too many props,"Number of props: 17; Props: row,column,isNullable,isEditable,onRowChange,onExpandEditor,id,data,projectRef,connectionString,mutate,isPending,isSuccess,table,pkMatch,onSuccess,width",,
41,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\footer\pagination\Pagination.tsx,Pagination,Large Component,LOC: 337; Number of props: 20; Number of attributes: 0; Number of methods: 8,,
42,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\footer\pagination\Pagination.tsx,Pagination,Too many props,"Number of props: 20; Props: enableForeignRowsQuery,id,sorts,filters,data,projectRef,connectionString,isPending,isSuccess,isError,isFetching,error,tableId,enforceExactCount,roleImpersonationState,placeholderData,enabled,page,preflightCheck,limit",,
43,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\formatter\ReferenceRecordPeek.tsx,ReferenceRecordPeek,Large Component,LOC: 116; Number of props: 29; Number of attributes: 0; Number of methods: 0,,
44,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\formatter\ReferenceRecordPeek.tsx,ReferenceRecordPeek,Too many props,"Number of props: 29; Props: table,column,value,ref,data,error,isSuccess,isError,isPending,projectRef,tableId,filters,page,limit,placeholderData,dataType,format,key,name,resizable,draggable,sortable,width,minWidth,headerCellClass,renderHeaderCell,renderCell,noRowsFallback,operator",,
45,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\grid\ColumnHeader.tsx,ColumnHeader,Large Component,LOC: 167; Number of props: 17; Number of attributes: 0; Number of methods: 0,,
46,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\grid\ColumnHeader.tsx,ColumnHeader,Too many props,"Number of props: 17; Props: column,columnType,isPrimaryKey,isEncrypted,format,foreignKey,comment,openSheet,isDragging,type,item,canDrag,collect,handlerId,accept,opacity,name",,
47,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\grid\SelectColumn.tsx,SelectCellHeader,Uncontrolled component,"Line 190: <input
",,
48,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\header\ExportDialog.tsx,ExportDialog,Large Component,LOC: 120; Number of props: 16; Number of attributes: 0; Number of methods: 0,,
49,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\header\ExportDialog.tsx,ExportDialog,Too many props,"Number of props: 16; Props: table,filters,sorts,ignoreRoleImpersonation,open,onOpenChange,ref,data,projectRef,db_user,db_host,db_port,db_name,connectionInfo,metadata,poolingInfo",,
50,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\header\Header.tsx,DefaultHeader,Large Component,LOC: 146; Number of props: 8; Number of attributes: 0; Number of methods: 0,,
51,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\header\Header.tsx,RowHeader,Large Component,LOC: 302; Number of props: 31; Number of attributes: 0; Number of methods: 6,,
52,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\header\Header.tsx,RowHeader,Too many props,"Number of props: 31; Props: tableQueriesEnabled,id,data,filters,sorts,projectRef,tableId,page,preflightCheck,limit,roleImpersonationState,enabled,enforceExactCount,placeholderData,rows,table,queryClient,queueOperation,allRowsSelected,numRows,callback,columns,type,exportCsv,confirmationModal,connectionString,entity,totalRows,exportSql,exportJson,content",,
53,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\header\HeaderNew.tsx,RowHeader,Large Component,LOC: 302; Number of props: 31; Number of attributes: 0; Number of methods: 6,,
54,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\header\HeaderNew.tsx,RowHeader,Too many props,"Number of props: 31; Props: tableQueriesEnabled,id,data,sorts,projectRef,tableId,filters,page,preflightCheck,limit,roleImpersonationState,enabled,enforceExactCount,placeholderData,rows,table,queryClient,queueOperation,allRowsSelected,numRows,callback,columns,type,exportCsv,confirmationModal,connectionString,entity,totalRows,exportSql,exportJson,content",,
55,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\menu\ColumnMenu.tsx,ColumnMenu,Large Component,LOC: 150; Number of props: 6; Number of attributes: 0; Number of methods: 6,,
56,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\components\menu\RowContextMenu.tsx,RowContextMenu,Large Component,LOC: 146; Number of props: 10; Number of attributes: 0; Number of methods: 2,,
57,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\context\TableIndexAdvisorContext.tsx,TableIndexAdvisorProvider,Large Component,LOC: 94; Number of props: 19; Number of attributes: 0; Number of methods: 0,,
58,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\context\TableIndexAdvisorContext.tsx,TableIndexAdvisorProvider,Too many props,"Number of props: 19; Props: children,schema,table,data,isIndexAdvisorAvailable,isIndexAdvisorEnabled,isLoading,projectRef,connectionString,enabled,queryKey,isAvailable,isEnabled,columnsWithSuggestions,suggestions,openSheet,getSuggestionsForColumn,invalidate,query",,
59,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\SupabaseGrid.tsx,SupabaseGrid,Large Component,LOC: 138; Number of props: 27; Number of attributes: 0; Number of methods: 0,,
60,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\grid\SupabaseGrid.tsx,SupabaseGrid,Too many props,"Number of props: 27; Props: customHeader,gridProps,children,id,data,filters,sorts,onApplySorts,table,warning,error,isSuccess,isError,isPending,isRefetching,dataUpdatedAt,projectRef,tableId,page,preflightCheck,limit,roleImpersonationState,placeholderData,enabled,retry,queryClient,operations",,
61,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Account\AccessTokens\Scoped\Form\Permissions\Permissions.tsx,Permissions,Large Component,LOC: 154; Number of props: 9; Number of attributes: 0; Number of methods: 0,,
62,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Account\AccessTokens\Scoped\ScopedTokenList.tsx,ScopedTokenList,Large Component,LOC: 151; Number of props: 10; Number of attributes: 0; Number of methods: 1,,
63,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Account\AccessTokens\Scoped\ViewTokenSheet.tsx,ViewTokenSheet,Large Component,LOC: 275; Number of props: 15; Number of attributes: 0; Number of methods: 1,,
64,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Account\AccessTokens\Scoped\ViewTokenSheet.tsx,ViewTokenSheet,Too many props,"Number of props: 15; Props: visible,tokenId,onClose,organizations,projects,data,isLoading,error,id,enabled,retry,retryDelay,name,type,identifier",,
65,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Account\AuditLogs.tsx,AuditLogs,Large Component,LOC: 280; Number of props: 24; Number of attributes: 0; Number of methods: 0,,
66,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Account\AuditLogs.tsx,AuditLogs,Too many props,"Number of props: 24; Props: from,to,projects,data,isLoading,isFetching,isFetchingNextPage,hasNextPage,fetchNextPage,search,placeholderData,error,isPending,isSuccess,isError,isRefetching,refetch,iso_timestamp_start,iso_timestamp_end,retry,text,calcFrom,calcTo,content",,
67,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Account\Preferences\AccountConnections.tsx,AccountConnections,Large Component,LOC: 134; Number of props: 7; Number of attributes: 0; Number of methods: 3,,
68,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Account\Preferences\AccountIdentities.tsx,AccountIdentities,Large Component,LOC: 164; Number of props: 11; Number of attributes: 0; Number of methods: 1,,
69,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Account\Preferences\DeleteAccountButton.tsx,DeleteAccountButton,Large Component,LOC: 151; Number of props: 20; Number of attributes: 0; Number of methods: 1,,
70,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Account\Preferences\DeleteAccountButton.tsx,DeleteAccountButton,Too many props,"Number of props: 20; Props: profile,data,isSuccess,account,mode,reValidateMode,resolver,defaultValues,mutate,isPending,onSuccess,onError,subject,message,category,severity,allowSupportAccess,verified,projectRef,field",,
71,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Advisors\AdvisorRuleItem.tsx,AdvisorRuleItem,Large Component,LOC: 196; Number of props: 16; Number of attributes: 0; Number of methods: 1,,
72,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Advisors\AdvisorRuleItem.tsx,AdvisorRuleItem,Too many props,"Number of props: 16; Props: lint,ref,data,slug,error,isPending,isSuccess,isError,projectRef,mutate,onSuccess,ids,content,base,title,description",,
73,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Advisors\CreateRuleSheet.tsx,CreateRuleSheet,Large Component,LOC: 180; Number of props: 22; Number of attributes: 0; Number of methods: 1,,
74,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Advisors\CreateRuleSheet.tsx,CreateRuleSheet,Too many props,"Number of props: 22; Props: lint,open,onOpenChange,ref,data,slug,mutate,isPending,onSuccess,mode,reValidateMode,resolver,defaultValues,lint_name,assigned_to,is_disabled,projectRef,exception,field,name,disabled,member",,
75,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\APIKeys\ApiKeyPill.tsx,ApiKeyPill,Large Component,LOC: 165; Number of props: 18; Number of attributes: 0; Number of methods: 2,,
76,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\APIKeys\ApiKeyPill.tsx,ApiKeyPill,Too many props,"Number of props: 18; Props: apiKey,ref,can,isLoading,data,error,isPending,refetch,projectRef,id,reveal,enabled,staleTime,gcTime,queryKey,exact,size,userSelect",,
77,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\APIKeys\APIKeyRow.tsx,APIKeyRow,Large Component,LOC: 112; Number of props: 16; Number of attributes: 0; Number of methods: 0,,
78,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\APIKeys\APIKeyRow.tsx,APIKeyRow,Too many props,"Number of props: 16; Props: apiKey,lastSeen,isDeleting,isDeleteModalOpen,isLoadingLastSeen,showLastSeen,onDelete,setKeyToDelete,opacity,height,type,stiffness,damping,mass,title,description",,
79,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\APIKeys\PublishableAPIKeys.tsx,PublishableAPIKeys,Large Component,LOC: 120; Number of props: 15; Number of attributes: 0; Number of methods: 1,,
80,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\APIKeys\PublishableAPIKeys.tsx,PublishableAPIKeys,Too many props,"Number of props: 15; Props: ref,can,isLoading,data,error,isSuccess,isPending,isError,projectRef,reveal,enabled,type,mutate,onSuccess,id",,
81,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\APIKeys\SecretAPIKeys.tsx,SecretAPIKeys,Large Component,LOC: 115; Number of props: 14; Number of attributes: 0; Number of methods: 1,,
82,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\APIKeys\SecretAPIKeys.tsx,SecretAPIKeys,Too many props,"Number of props: 14; Props: ref,can,isLoading,data,error,isSuccess,isPending,isError,projectRef,reveal,enabled,mutate,onSuccess,id",,
83,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\App\FeaturePreview\FeaturePreviewModal.tsx,FeaturePreviewModal,Large Component,LOC: 136; Number of props: 12; Number of attributes: 0; Number of methods: 1,,
84,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Auth\AuditLogsForm.tsx,AuditLogsForm,Large Component,LOC: 174; Number of props: 18; Number of attributes: 0; Number of methods: 1,,
85,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Auth\AuditLogsForm.tsx,AuditLogsForm,Too many props,"Number of props: 18; Props: ref,data,can,projectRef,connectionString,includeColumns,schema,error,isError,isPending,mutate,onError,onSuccess,resolver,defaultValues,AUDIT_LOG_DISABLE_POSTGRES,config,field",,
86,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Auth\AuthProvidersForm\FormField.tsx,FormField,Large Component,LOC: 268; Number of props: 5; Number of attributes: 0; Number of methods: 0,,
87,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Auth\AuthProvidersForm\ProviderForm.tsx,ProviderForm,Large Component,LOC: 263; Number of props: 20; Number of attributes: 0; Number of methods: 4,,
88,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Auth\AuthProvidersForm\ProviderForm.tsx,ProviderForm,Too many props,"Number of props: 20; Props: config,provider,isActive,resolvedTheme,ref,data,defaultValue,mutate,isPending,projectRef,can,resetForm,onSuccess,handleReset,initialValues,values,setFieldValue,entitlementKey,description,content",,
89,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Auth\BasicAuthSettingsForm.tsx,BasicAuthSettingsForm,Large Component,LOC: 298; Number of props: 20; Number of attributes: 0; Number of methods: 1,,
90,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Auth\BasicAuthSettingsForm.tsx,BasicAuthSettingsForm,Too many props,"Number of props: 20; Props: ref,data,error,isError,isSuccess,isPending,projectRef,mutate,can,resolver,defaultValues,DISABLE_SIGNUP,EXTERNAL_ANONYMOUS_USERS_ENABLED,SECURITY_MANUAL_LINKING_ENABLED,MAILER_AUTOCONFIRM,SITE_URL,config,onError,onSuccess,field",,
91,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Auth\EmailTemplates\EmailTemplates.tsx,EmailTemplates,Large Component,LOC: 271; Number of props: 15; Number of attributes: 0; Number of methods: 1,,
92,C:\Users\jayan\7000 project\agentic_refactor_system\runs\supabase_reactsniffer2\detector\reactsniffer_input\apps\studio\components\interfaces\Auth\EmailTemplates\EmailTemplates.tsx,EmailTemplates,Too many props,"Number of props: 15; Props: ref,can,data,error,isPending,isError,isSuccess,projectRef,mutate,onError,onSuccess,resolver,defaultValues,config,field",,
